cycle,sndr_db
0,62.911
2000,62.911
4000,62.911
6000,62.911
8000,62.911
10000,62.911
12000,62.922
14000,62.798
16000,62.804
18000,62.804
20000,62.839
22000,62.839
24000,62.839
26000,62.839
28000,62.806
30000,62.944
32000,62.944
34000,62.944
36000,62.974
38000,62.974
40000,62.974
42000,62.974
44000,62.976
46000,63.484
48000,63.469
50000,63.536
52000,63.544
54000,63.544
56000,63.544
58000,63.544
60000,65.116
62000,65.116
64000,65.145
66000,65.145
68000,65.145
70000,65.145
72000,65.145
74000,65.1
76000,65.142
78000,65.142
80000,65.142
82000,65.143
84000,65.172
86000,65.172
88000,65.399
90000,65.399
92000,65.404
94000,65.428
96000,65.428
98000,65.428
100000,65.449
102000,65.449
104000,65.449
106000,66.548
108000,66.562
110000,66.562
112000,66.531
114000,66.585
116000,66.585
118000,66.585
120000,72.807
122000,72.807
124000,72.807
126000,72.879
128000,73.127
130000,73.127
132000,73.127
134000,68.681
136000,68.681
138000,68.681
140000,68.764
142000,68.735
144000,68.741
146000,68.741
148000,66.425
150000,66.425
152000,66.425
154000,66.425
156000,66.424
158000,66.399
160000,66.399
162000,66.399
164000,65.388
166000,65.388
168000,65.388
170000,65.388
172000,65.398
174000,65.385
176000,65.385
178000,65.377
180000,73.659
182000,73.659
184000,73.659
186000,73.659
188000,73.663
190000,73.678
192000,73.709
194000,73.709
196000,73.766
198000,73.766
200000,73.766
202000,73.766
204000,73.776
206000,73.74
208000,73.719
210000,73.719
212000,73.719
214000,73.719
216000,73.719
218000,73.747
220000,73.759
222000,73.756
224000,73.715
226000,73.715
228000,73.715
230000,73.715
232000,73.715
234000,73.715
236000,73.723
238000,73.723
240000,73.634
242000,73.634
244000,73.634
246000,73.634
248000,73.634
250000,73.634
252000,73.666
254000,73.728
256000,73.728
258000,73.724
260000,73.724
262000,73.724
264000,73.724
266000,73.724
268000,73.614
270000,73.614
272000,73.614
274000,73.614
276000,73.614
278000,73.614
280000,73.614
282000,73.652
284000,73.67
286000,73.67
288000,73.67
290000,73.683
292000,73.683
294000,73.683
296000,73.683
298000,73.683
300000,73.705
302000,73.705
304000,73.705
306000,73.705
308000,73.705
310000,73.705
312000,73.705
314000,73.705
316000,73.708
318000,73.708
320000,73.725
322000,73.725
324000,73.725
326000,73.725
328000,73.725
330000,73.725
332000,73.725
334000,73.72
336000,73.72
338000,73.72
340000,73.72
342000,73.72
344000,73.72
346000,73.72
348000,73.736
350000,73.736
352000,73.736
354000,73.764
356000,73.764
358000,73.764
360000,73.764
362000,73.764
364000,73.764
366000,73.764
368000,73.764
370000,73.764
372000,73.764
374000,73.764
376000,73.764
378000,73.764
380000,73.708
382000,73.708
384000,73.708
384243,73.723
