freq_mhz,dbfs
0.000781,-102.642
0.001562,-138.298
0.002344,-103.252
0.003125,-138.298
0.003906,-140.051
0.004687,-138.298
0.005469,-101.422
0.006250,-138.298
0.007031,-106.919
0.007812,-138.298
0.008594,-111.281
0.009375,-138.298
0.010156,-117.026
0.010937,-138.298
0.011719,-105.716
0.012500,-138.298
0.013281,-108.945
0.014062,-138.298
0.014844,-120.417
0.015625,-138.298
0.016406,-107.259
0.017187,-138.298
0.017969,-118.582
0.018750,-138.298
0.019531,-106.508
0.020312,-138.298
0.021094,-111.322
0.021875,-138.298
0.022656,-104.619
0.023437,-138.298
0.024219,-110.734
0.025000,-138.298
0.025781,-108.683
0.026562,-138.298
0.027344,-127.758
0.028125,-138.298
0.028906,0.000
0.029687,-138.298
0.030469,-139.771
0.031250,-138.298
0.032031,-105.239
0.032812,-138.298
0.033594,-105.165
0.034375,-138.298
0.035156,-101.339
0.035937,-138.298
0.036719,-107.153
0.037500,-138.298
0.038281,-112.296
0.039062,-138.298
0.039844,-111.814
0.040625,-138.298
0.041406,-110.542
0.042187,-138.298
0.042969,-128.382
0.043750,-138.298
0.044531,-124.682
0.045312,-138.298
0.046094,-102.672
0.046875,-138.298
0.047656,-113.674
0.048437,-138.298
0.049219,-117.965
0.050000,-138.298
0.050781,-109.305
0.051562,-138.298
0.052344,-107.130
0.053125,-138.298
0.053906,-115.343
0.054687,-138.298
0.055469,-106.496
0.056250,-138.298
0.057031,-107.057
0.057812,-138.298
0.058594,-117.371
0.059375,-138.298
0.060156,-103.247
0.060937,-138.298
0.061719,-116.708
0.062500,-138.298
0.063281,-142.959
0.064062,-138.298
0.064844,-115.068
0.065625,-138.298
0.066406,-122.017
0.067187,-138.298
0.067969,-109.165
0.068750,-138.298
0.069531,-107.954
0.070312,-138.298
0.071094,-106.332
0.071875,-138.298
0.072656,-103.847
0.073437,-138.298
0.074219,-115.255
0.075000,-138.298
0.075781,-102.127
0.076562,-138.298
0.077344,-123.914
0.078125,-138.298
0.078906,-126.711
0.079687,-138.298
0.080469,-106.504
0.081250,-138.298
0.082031,-106.508
0.082812,-138.298
0.083594,-101.369
0.084375,-138.298
0.085156,-135.316
0.085937,-138.298
0.086719,-124.435
0.087500,-138.298
0.088281,-104.703
0.089062,-138.298
0.089844,-116.950
0.090625,-138.298
0.091406,-118.014
0.092187,-138.298
0.092969,-101.081
0.093750,-138.298
0.094531,-118.067
0.095312,-138.298
0.096094,-105.124
0.096875,-138.298
0.097656,-110.628
0.098437,-138.298
0.099219,-118.471
0.100000,-138.298
0.100781,-111.124
0.101562,-138.298
0.102344,-111.875
0.103125,-138.298
0.103906,-105.355
0.104687,-138.298
0.105469,-132.971
0.106250,-138.298
0.107031,-107.901
0.107812,-138.298
0.108594,-110.172
0.109375,-138.298
0.110156,-124.050
0.110937,-138.298
0.111719,-107.202
0.112500,-138.298
0.113281,-124.176
0.114062,-138.298
0.114844,-118.414
0.115625,-138.298
0.116406,-109.748
0.117187,-138.298
0.117969,-111.729
0.118750,-138.298
0.119531,-110.668
0.120312,-138.298
0.121094,-140.611
0.121875,-138.298
0.122656,-106.653
0.123437,-138.298
0.124219,-103.709
0.125000,-138.298
0.125781,-109.988
0.126562,-138.298
0.127344,-125.615
0.128125,-138.298
0.128906,-106.938
0.129687,-138.298
0.130469,-119.863
0.131250,-138.298
0.132031,-113.229
0.132812,-138.298
0.133594,-121.059
0.134375,-138.298
0.135156,-104.682
0.135937,-138.298
0.136719,-116.137
0.137500,-138.298
0.138281,-107.011
0.139062,-138.298
0.139844,-111.058
0.140625,-138.298
0.141406,-102.087
0.142187,-138.298
0.142969,-118.209
0.143750,-138.298
0.144531,-121.478
0.145312,-138.298
0.146094,-107.857
0.146875,-138.298
0.147656,-128.142
0.148437,-138.298
0.149219,-106.176
0.150000,-138.298
0.150781,-105.256
0.151562,-138.298
0.152344,-112.453
0.153125,-138.298
0.153906,-107.241
0.154687,-138.298
0.155469,-120.572
0.156250,-138.298
0.157031,-102.387
0.157812,-138.298
0.158594,-99.895
0.159375,-138.298
0.160156,-105.505
0.160937,-138.298
0.161719,-114.476
0.162500,-138.298
0.163281,-103.483
0.164062,-138.298
0.164844,-100.906
0.165625,-138.298
0.166406,-103.483
0.167187,-138.298
0.167969,-104.088
0.168750,-138.298
0.169531,-111.215
0.170312,-138.298
0.171094,-103.636
0.171875,-138.298
0.172656,-114.778
0.173437,-138.298
0.174219,-109.162
0.175000,-138.298
0.175781,-105.838
0.176562,-138.298
0.177344,-107.533
0.178125,-138.298
0.178906,-107.153
0.179687,-138.298
0.180469,-100.907
0.181250,-138.298
0.182031,-139.102
0.182812,-138.298
0.183594,-99.311
0.184375,-138.298
0.185156,-103.708
0.185937,-138.298
0.186719,-133.109
0.187500,-138.298
0.188281,-123.028
0.189062,-138.298
0.189844,-105.864
0.190625,-138.298
0.191406,-114.755
0.192187,-138.298
0.192969,-110.625
0.193750,-138.298
0.194531,-125.700
0.195312,-138.298
0.196094,-101.329
0.196875,-138.298
0.197656,-110.685
0.198437,-138.298
0.199219,-100.333
0.200000,-138.298
0.200781,-100.916
0.201562,-138.298
0.202344,-103.118
0.203125,-138.298
0.203906,-103.263
0.204687,-138.298
0.205469,-105.431
0.206250,-138.298
0.207031,-109.546
0.207812,-138.298
0.208594,-103.942
0.209375,-138.298
0.210156,-113.507
0.210937,-138.298
0.211719,-102.685
0.212500,-138.298
0.213281,-122.283
0.214062,-138.298
0.214844,-114.395
0.215625,-138.298
0.216406,-135.151
0.217187,-138.298
0.217969,-136.171
0.218750,-138.298
0.219531,-101.888
0.220312,-138.298
0.221094,-127.450
0.221875,-138.298
0.222656,-114.580
